[[ 282.50802612]
 [ 300.88208008]
 [ 218.25996399]
 [ 185.36991882]
 [ 196.67686462]
 [ 206.23101807]
 [ 247.51016235]
 [ 243.62882996]
 [ 234.70742798]
 [ 262.64611816]
 [ 240.84265137]
 [ 243.15489197]
 [ 282.04537964]
 [ 284.89300537]
 [ 224.67686462]
 [ 225.95263672]
 [ 242.44259644]
 [ 262.28421021]
 [ 229.21443176]
 [ 239.01448059]
 [ 260.77145386]
 [ 248.34291077]
 [ 253.69456482]
 [ 265.77160645]
 [ 280.42102051]
 [ 271.64086914]
 [ 257.00161743]
 [ 274.52536011]
 [ 252.44256592]
 [ 253.63298035]
 [ 259.58883667]
 [ 269.49362183]
 [ 281.07531738]
 [ 279.82006836]
 [ 297.31951904]
 [ 296.34292603]
 [ 299.98782349]
 [ 298.4414978 ]
 [ 305.23519897]
 [ 311.20983887]
 [ 316.45227051]
 [ 320.62850952]
 [ 308.89105225]
 [ 305.31842041]
 [ 308.83111572]
 [ 311.30993652]
 [ 317.44940186]
 [ 329.64666748]
 [ 329.43417358]
 [ 332.30554199]
 [ 316.28244019]
 [ 322.4317627 ]
 [ 338.28399658]
 [ 338.98864746]
 [ 345.30352783]
 [ 332.93768311]
 [ 331.19290161]
 [ 321.10159302]
 [ 314.23535156]
 [ 322.50473022]
 [ 328.04660034]
 [ 325.00894165]
 [ 332.41900635]
 [ 347.36038208]
 [ 366.45339966]
 [ 378.10174561]
 [ 366.40151978]
 [ 366.4251709 ]
 [ 359.73892212]
 [ 321.25738525]
 [ 304.05706787]
 [ 336.38711548]
 [ 358.69815063]
 [ 360.14874268]
 [ 369.95501709]
 [ 375.90444946]
 [ 378.30508423]
 [ 399.11993408]
 [ 400.60662842]
 [ 397.51086426]
 [ 401.87426758]
 [ 389.39556885]
 [ 403.94204712]
 [ 409.81829834]
 [ 405.41207886]
 [ 406.42080688]
 [ 393.61022949]
 [ 377.56503296]
 [ 351.45422363]
 [ 318.57498169]
 [ 310.09295654]
 [ 327.05648804]
 [ 320.50756836]
 [ 325.09536743]
 [ 330.53567505]
 [ 334.23587036]
 [ 328.89413452]
 [ 332.25418091]
 [ 328.84713745]
 [ 336.19046021]
 [ 323.62435913]
 [ 300.88729858]
 [ 285.7557373 ]
 [ 271.70785522]
 [ 268.8092041 ]
 [ 298.00140381]
 [ 303.9777832 ]
 [ 271.16973877]
 [ 268.89361572]
 [ 292.8197937 ]
 [ 274.199646  ]
 [ 257.14782715]
 [ 257.61791992]
 [ 271.60864258]
 [ 284.83374023]
 [ 299.74813843]
 [ 289.3326416 ]
 [ 283.53326416]
 [ 283.90426636]
 [ 288.43939209]
 [ 292.28091431]
 [ 278.73397827]
 [ 246.75740051]
 [ 246.92167664]
 [ 246.54367065]
 [ 263.94061279]
 [ 247.42224121]
 [ 222.29962158]
 [ 242.7562561 ]
 [ 207.8079834 ]
 [ 230.95202637]
 [ 249.67405701]
 [ 272.3850708 ]
 [ 272.32684326]
 [ 213.46749878]
 [ 223.67773438]
 [ 205.84310913]
 [ 197.30311584]
 [ 225.55374146]
 [ 247.46133423]
 [ 254.11482239]
 [ 265.06814575]
 [ 262.66418457]
 [ 255.66870117]
 [ 263.13394165]
 [ 277.04016113]
 [ 268.15725708]
 [ 259.04574585]
 [ 264.14273071]
 [ 249.74728394]
 [ 230.27557373]
 [ 239.0917511 ]
 [ 212.47503662]
 [ 177.67880249]
 [ 163.77851868]
 [ 128.07785034]]
